,nombre,formatted_address,latitud,longitud,opening_hours,hora,dia,rating,user_ratings_total,cp,distrito
58,Kiosco Imperial,"C/ de Fra Juníper Serra, 85, Patraix, 46014 València, Valencia, España",39.4636192,-0.4011418,False,14:50:36,2024-02-09,4.6,46,46014,Patraix
60,Librería Releo,"C/ de Francisco Moreno Usedo, 30, L'Olivereta, 46018 València, Valencia, España",39.47219949999999,-0.3972323,False,14:50:40,2024-02-09,4.2,47,46018,L'Olivereta
61,La Primera Libros,"C/ de Guillem de Castro, 106, Ciutat Vella, 46003 València, Valencia, España",39.4776865,-0.3834425,False,14:50:40,2024-02-09,4.6,78,46003,Ciutat Vella
63,Librería Futurama Cómics,"C/ de Guillem de Castro, 53, Extramurs, 46007 València, Valencia, España",39.4700141,-0.3831402,False,14:50:40,2024-02-09,4.7,1807,46007,Extramurs
65,Librería Papelería Seguí,"C/ de Jerónima Galés, 20, Jesús, 46017 València, Valencia, España",39.4539892,-0.3900149000000001,False,14:50:43,2024-02-09,4.6,175,46017,Jesus
67,Librería Anticuario,"C/ de Joan Llorenç, 62, Extramurs, 46008 València, Valencia, España",39.4697936,-0.3889463,False,14:50:40,2024-02-09,5.0,1,46008,Extramurs
69,Papelería - Librería Öz,"C/ de José Grollo, 53, Benicalap, 46025 València, Valencia, España",39.4909936,-0.3909878,True,12:09:02,2024-02-19,4.8,311,46025,Benicalap
71,Abacus Cooperativa | Aqua,"C/ de Menorca, 19, Camins al Grau, 46023 València, Valencia, España",39.4566922,-0.3457674,True,12:09:05,2024-02-19,4.1,225,46023,Camins al Grau
73,Aida Books&More,"C/ de Molinell, 14, La Saïdia, 46010 València, Valencia, España",39.4848506,-0.3684859,False,14:50:37,2024-02-09,4.7,614,46010,La Saïdia
75,AIDA Books&More Valencia,"C/ de Moratín, 11, Ciutat Vella, 46002 València, Valencia, España",39.4711883,-0.3758603,False,14:50:30,2024-02-09,4.7,233,46002,Ciutat Vella
77,Librerías París Valencia,"C/ de Pelai, 7, Extramurs, 46007 València, Valencia, España",39.4672736,-0.3783433,False,14:50:44,2024-02-09,4.7,3849,46007,Extramurs
79,Librería Berlín,"C/ de Polo y Peyrolón, 1, El Pla del Real, 46021 València, Valencia, España",39.4711953,-0.3563137,False,14:50:42,2024-02-09,4.5,307,46021,Pla del Real
81,papelería-librería-manualidades Quart133 en Valencia,"C/ de Quart, 133, bajo drcha, Extramurs, 46008 Valencia, España",39.4745159,-0.3909117,False,14:50:40,2024-02-09,4.8,36,46008,Extramurs
83,Mercado del Libro Usado de Benimaclet,"C/ de Sant Columbà, 14, bajo, Benimaclet, 46020 Valencia, España",39.4899155,-0.3574724,False,14:50:28,2024-02-09,3.9,131,46020,Benimaclet
85,Itaca Libreria,"C/ de Sant Vicent Màrtir, 214, Jesús, 46007 València, Valencia, España",39.457271,-0.3838078,False,14:50:44,2024-02-09,5.0,2,46007,Extramurs
87,Abacus Cooperativa | Arena,"C/ de Santa Genoveva Torres, 21, Rascanya, 46019 València, Valencia, España",39.4943754,-0.362413,True,12:09:12,2024-02-19,4.0,87,46019,Rascanya
89,Book Lovers Valencia,"C/ de Sevilla, 5, L'Eixample, 46006 València, Valencia, España",39.464246,-0.3741408,False,14:50:44,2024-02-09,4.9,193,46006,L'Eixample
90,Librería Soriano,"C/ de Xàtiva, 15, Ciutat Vella, 46002 València, Valencia, España",39.4676022,-0.3765376,True,12:09:19,2024-02-19,4.4,1818,46002,Ciutat Vella
92,Papereria - Llibreria Mussol,"C/ de l'Argenter Suárez, 16, La Saïdia, 46009 València, Valencia, España",39.4856048,-0.37282,True,12:09:12,2024-02-19,4.8,137,46009,Campanar
93,Papelería Rido,"C/ de l'Arxiduc Carles, 17, Patraix, 46018 València, Valencia, España",39.4662859,-0.3932939,True,12:09:09,2024-02-19,4.8,37,46018,Patraix
94,Libreria Papeleria Helene,"C/ de l'Enginyer José Sirera, 37, Jesús, 46017 València, Valencia, España",39.4461638,-0.3904002,False,14:50:43,2024-02-09,4.7,19,46017,Jesus
96,Arribada Llibres,"C/ de l'Hedra, 2, Ciutat Vella, 46001 València, Valencia, España",39.4726067,-0.3784661,False,14:50:30,2024-02-09,4.8,26,46001,Ciutat Vella
98,Librería Bangarang,"C/ de l'Historiador Diago, 9, Extramurs, 46007 València, Valencia, España",39.4672334,-0.3841488,False,14:50:40,2024-02-09,4.9,292,46007,Extramurs
100,Libreria UNED,"C/ de la Casa de la Misericòrdia, 34, L'Olivereta, 46014 Valencia, España",39.4644275,-0.4115695,True,12:09:10,2024-02-19,4.3,19,46014,Olivereta
102,La Benebotiga,"C/ de la Corona, 36, Ciutat Vella, 46003 València, Valencia, España",39.4788181,-0.3830386,True,14:50:26,2024-02-09,4.2,5,46003,Ciutat Vella
103,Llibreria Ramon Llull,"C/ de la Corona, 5, Ciutat Vella, 46003 València, Valencia, España",39.4776975,-0.3810918,False,14:50:27,2024-02-09,4.8,280,46003,Ciutat Vella
104,Far de paper,"C/ de la Democràcia, 95, L'Olivereta, 46014 València, Valencia, España",39.4724874,-0.4066577,False,14:50:36,2024-02-09,5.0,3,46014,L'Olivereta
106,"""Un Poc De Tot"" Papelería Librería","C/ de la Reina Na Maria, 13, bajo, Ensanche, 46006 València, Valencia, España",39.4615017,-0.3717667,False,14:50:44,2024-02-09,5.0,37,46006,L'Eixample
108,"Libreria ""La Guarida de las Maravillas""","C/ de la Tapineria, 12, Ciutat Vella, 46001 València, Valencia, España",39.4745087,-0.3764535,False,14:50:30,2024-02-09,4.4,77,46001,Ciutat Vella
110,La llibreria de la Universitat. PUV.,"C/ de les Arts Gràfiques, 13, El Pla del Real, 46010 València, Valencia, España",39.476902,-0.3623544,True,12:09:17,2024-02-19,4.6,19,46010,Pla del Real
111,Librería Viridiana,"C/ de les Arts Gràfiques, 38, El Pla del Real, 46010 València, Valencia, España",39.47580019999999,-0.3596334,True,12:09:17,2024-02-19,4.7,30,46010,Pla del Real
113,PRAXIS : Librería Asociativa,"C/ de les Avellanes, 8, Ciutat Vella, 46003 València, Valencia, España",39.4742239,-0.3743941,False,14:50:30,2024-02-09,5.0,14,46003,Ciutat Vella
114,Libreria papeleria Gamma,"C/ de les Illes Canàries, 154, bj, Camins al Grau, 46023 València, Valencia, España",39.4614055,-0.3411167,False,14:50:31,2024-02-09,4.5,160,46023,Camins al Grau
116,Librería Zamenhof,"C/ del Doctor Zamenhof, 54, Extramurs, 46008 València, Valencia, España",39.4746238,-0.3948073,False,14:50:40,2024-02-09,4.7,77,46008,Extramurs
118,Librería Annur,"C/ del Duc de Mandas, 23a, Rascanya, 46019 València, Valencia, España",39.4941533,-0.3697995,False,14:50:37,2024-02-09,4.7,26,46019,Rascanya
120,Libreria Papeleria Agustí S.L.,"C/ del Marqués de Montortal, 10, Rascanya, 46019 València, Valencia, España",39.4927492,-0.3747292,False,14:50:37,2024-02-09,4.4,44,46019,Rascanya
122,Cafetería Librería Letras y Vinos,"C/ del Músic Belando, 15, Benimaclet, 46020 València, Valencia, España",39.48752,-0.35959,False,14:50:28,2024-02-09,4.7,166,46020,Benimaclet
124,Librería de Idiomas Babel,"C/ del Pla de la Saïdia, 18, La Saïdia, 46009 València, Valencia, España",39.483031,-0.3811228,True,12:09:01,2024-02-19,4.2,225,46009,Campanar
125,EDISOL LIBROS,"C/ del Pla de la Saïdia, 18, La Saïdia, 46009 València, Valencia, España",39.483032,-0.3811099,False,14:50:27,2024-02-09,5.0,2,46009,La Saïdia
128,BiblioCafé Escuela de Escritura,"C/ del Poeta Durán i Tortajada, 20, Algirós, 46022 València, Valencia, España",39.47132149999999,-0.3435621,False,14:50:31,2024-02-09,4.8,104,46022,Algirós
129,Leolo. Librería infantil y juvenil internacional y juguetería didáctica.,"C/ del Túria, 50, Extramurs, 46008 València, Valencia, España",39.4773561,-0.3852891,False,14:50:26,2024-02-09,4.7,208,46008,Extramurs
131,Librería miranfú,"C/ dels Centelles, 23, L'Eixample, 46006 València, Valencia, España",39.4594641,-0.3722099,False,14:50:44,2024-02-09,4.7,102,46006,L'Eixample
133,Librería Papelería El gato de papel,"C/ dels Lleons, 37, Camins al Grau, 46022 València, Valencia, España",39.4680638,-0.3477532,False,14:50:42,2024-02-09,4.8,24,46022,Camins al Grau
134,el Gato de papel,"C/ dels Lleons, 37, Camins al Grau, 46022 València, Valencia, España",39.4680638,-0.3477532,True,12:09:17,2024-02-19,4.7,25,46022,Camins al Grau
135,A4LAB Copistería Papelería y Libros,"C/ dels Sants Just i Pastor, 13, bajo, Algirós, 46021 València, Valencia, España",39.4709037,-0.3518569,False,14:50:42,2024-02-09,4.5,96,46021,Algirós
137,Papelería/Copistería Alfil.be La Amistad,"C/ dels Sants Just i Pastor, 51, Algirós, 46022 València, Valencia, España",39.4697894,-0.3479571,True,14:50:42,2024-02-09,4.1,52,46022,Algirós
138,La Librería UPV (Editorial UPV),"Camí de Vera, S/N, Algirós, 46022 València, Valencia, España",39.48150860000001,-0.344335,True,12:09:03,2024-02-19,4.9,15,46022,Camins al Grau
140,Llibreria Paideia,"Carrer José María Mortes Lerma, 13, Patraix, 46014 València, Valencia, España",39.46290030000001,-0.3996192,False,14:50:36,2024-02-09,4.6,73,46014,Patraix
142,Estudio 64 +Librería-Galería +Ilustración,"Carrer de Benicolet, 2, Benimaclet, 46020 València, Valencia, España",39.48646919999999,-0.3591147,False,14:50:37,2024-02-09,4.8,132,46020,Benimaclet
144,Distest,"Carrer de Bèlgica, 24, Pta. 2, El Llano del Real, 46021 Valencia, España",39.4743949,-0.3552652,True,12:09:17,2024-02-19,4.5,39,46021,Pla del Real
145,Libreria Gaia,"Carrer de Daniel Balaciart, 4, Benimaclet, 46020 València, Valencia, España",39.4799131,-0.3560846,False,14:50:28,2024-02-09,4.8,96,46020,Benimaclet
147,Llibreria De Vell Ruzafa,"Carrer de Dénia, 14, L'Eixample, 46004 València, Valencia, España",39.4635,-0.3736278,False,14:50:44,2024-02-09,4.6,14,46004,L'Eixample
149,Libreria,"Carrer de Dénia, L'Eixample, 46006 València, Valencia, España",39.4634813,-0.3737323,False,14:50:44,2024-02-09,4.0,2,46006,L'Eixample
151,Re-Read Librería Lowcost,"Carrer de Joaquín Costa, 59, L'Eixample, 46005 València, Valencia, España",39.46369079999999,-0.3651814,True,12:09:19,2024-02-19,4.6,325,46005,L'Eixample
152,Dino Papeleria Librería,"Carrer de José Soto Micó, 41, bajo, Jesús, 46017 Valencia, España",39.4402699,-0.3886298,False,14:50:43,2024-02-09,4.9,37,46017,Jesus
154,Elena Librería,"Carrer de Manolo Taberner, 38, L'Olivereta, 46018 València, Valencia, España",39.4711342,-0.398221,False,14:50:40,2024-02-09,4.0,3,46018,L'Olivereta
156,Patrimonio Ediciones,"Carrer de Martí l'Humà, 12, Bajo, Extramurs, 46008 València, Valencia, España",39.4710065,-0.3914091,False,14:50:40,2024-02-09,4.8,4,46008,Extramurs
157,Librería Tam Tam,"Carrer de Misser Mascó, 6, El Pla del Real, 46010 València, Valencia, España",39.4760435,-0.365124,True,12:09:17,2024-02-19,4.5,15,46010,Pla del Real
158,Librería Tirant lo Blanch,"Carrer de Ramon Llull, 31, Algirós, 46021 València, Valencia, España",39.4771385,-0.3467645,True,12:09:17,2024-02-19,4.4,239,46021,Pla del Real
159,Punto y Coma,"Carrer de Ramon Llull, 41, Algirós, 46021 València, Valencia, España",39.4777629,-0.3464906,True,12:09:05,2024-02-19,0.0,0,46021,Pla del Real
161,Cuánto Cuento,"Carrer de Salamanca, 16, L'Eixample, 46005 València, Valencia, España",39.4667046,-0.3649056,True,12:09:19,2024-02-19,1.0,2,46005,L'Eixample
163,Libreria Salamanca,"Carrer de Salamanca, 42, L'Eixample, 46005 València, Valencia, España",39.4647967,-0.3634585,False,14:50:42,2024-02-09,4.8,30,46005,L'Eixample
165,Papelería Barco de Papel,"Carrer de Salamanca, 47, L'Eixample, 46005 València, Valencia, España",39.464386,-0.3627177,True,12:09:17,2024-02-19,4.9,66,46005,L'Eixample
167,El Cárabo,"Carrer de Sant Jacint Castanyeda, 8, Quatre Carreres, 46004 València, Valencia, España",39.4598171,-0.3627705,True,12:09:17,2024-02-19,4.1,31,46004,L'Eixample
169,Librería El Imperio,"Carrer de Sueca, 29, L'Eixample, 46006 València, Valencia, España",39.4619319,-0.3752872,False,14:50:44,2024-02-09,4.8,329,46006,L'Eixample
171,Librería y Antigüedades Monos de San Telmo,"Carrer de l'Uruguai, 59, Jesús, 46007 València, Valencia, España",39.4550507,-0.3865092,False,14:50:43,2024-02-09,5.0,15,46007,Extramurs
173,Librería De Lance,"Carrer de l'Uruguai, Jesús, 46007 València, España",39.4550414,-0.3865139,False,14:50:43,2024-02-09,3.0,2,46007,Extramurs
175,BIBLIOTECA SOLIDARIA,"Carrer de la Indústria, 8, Camins al Grau, 46022 València, Valencia, España",39.4638965,-0.343652,False,14:50:31,2024-02-09,5.0,2,46022,Camins al Grau
176,Fundación Padre Juan Schenk,"Carrer de la Indústria, 8, bajo izquierda, Camins al Grau, 46022 València, Valencia, España",39.4638398,-0.3436795,False,14:50:31,2024-02-09,4.0,9,46022,Camins al Grau
177,Librería La Rossa,"Carrer de la Murta, 6, Benimaclet, 46020 València, Valencia, España",39.4860733,-0.3582687,False,14:50:37,2024-02-09,4.8,250,46020,Benimaclet
179,Papereria Llibreria Regals Abaco Ml Padi,"Carrer del Dr. Pérez Feliu, 13, Patraix, 46014 València, Valencia, España",39.4603448,-0.402365,False,14:50:36,2024-02-09,3.1,8,46014,Patraix
181,Railowsky,"Carrer del Gravador Esteve, 34, L'Eixample, 46004 València, Valencia, España",39.4691417,-0.3663803,True,12:09:17,2024-02-19,4.7,167,46004,L'Eixample
183,Ubik Café Cafetería Librería,"Carrer del Literat Azorín, 13, L'Eixample, 46003 València, Valencia, España",39.4604432,-0.3738929,True,14:50:44,2024-02-09,4.3,3841,46003,L'Eixample
184,Libreria De OCasión,"Carrer del Mestre Gozalbo, 6, L'Eixample, 46005 València, Valencia, España",39.4659189,-0.3699957,False,14:50:44,2024-02-09,5.0,1,46005,L'Eixample
186,Papelería Ébano,"Carrer del Mestre Valls, 30, Camins al Grau, 46022 València, Valencia, España",39.4659863,-0.3411729,False,14:50:31,2024-02-09,4.7,29,46022,Camins al Grau
188,Libreria Laia,"Carrer del Moro Zeid, 2, Ciutat Vella, 46001 València, Valencia, España",39.475367,-0.3806693,False,14:50:30,2024-02-09,0.0,0,46001,Ciutat Vella
190,Papelería Alpe,"Carrer del Músic Padilla, 4, L'Eixample, 46005 València, Valencia, España",39.4632094,-0.3707655,False,14:50:44,2024-02-09,4.4,60,46005,L'Eixample
191,Papelería El Parque,"EL PARQUE, C/ de José Grollo, 135, bajo ( PAPELERIA, Benicalap, 46025 València, Valencia, España",39.494223,-0.3946658,False,14:50:27,2024-02-09,4.6,231,46025,Benicalap
193,Librería Izquierdo,"Gran Via de Ferran el Catòlic, 12, Extramurs, 46008 Valencia, España",39.47050309999999,-0.3847126,False,14:50:40,2024-02-09,4.5,88,46008,Extramurs
195,José Antonio López Herrero,"Gran Via de Ferran el Catòlic, 70, Extramurs, 46008 Valencia, España",39.4749895,-0.3878887,False,14:50:40,2024-02-09,5.0,1,46008,Extramurs
197,Librerías París-Valencia,"Gran Via del Marqués del Túria, 74, L'Eixample, 46005 València, Valencia, España",39.4678718,-0.36614,False,14:50:42,2024-02-09,4.7,970,46005,L'Eixample
200,Llig - Llibreria de la Generalitat Valenciana,"Palacio Valeriola, C. de Navellos, 15, Ciutat Vella, 46003 Valencia, España",39.47742179999999,-0.375172,False,14:50:30,2024-02-09,4.2,29,46003,Ciutat Vella
203,No disponible,"Plaça d'Emili Beüt i Belenguer, 7, Benimaclet, 46020 València, Valencia, España",39.489521,-0.3567468,False,14:50:28,2024-02-09,5.0,13,46020,Benimaclet
205,Todos Contentos y Yo Tambien Libreria,"Plaça de Mossén Sorell, 10, Ciutat Vella, 46003 València, Valencia, España",39.4779748,-0.380234,False,14:50:27,2024-02-09,5.0,24,46003,Ciutat Vella
206,Libreria de lance,"Plaça de la Mare de Déu de la Pau, 2, Ciutat Vella, 46001 València, Valencia, España",39.4741907,-0.376855,False,14:50:30,2024-02-09,4.0,1,46001,Ciutat Vella
207,Auca Llibres Antics,"Plaça de la Mercè, 4, Ciutat Vella, 46001 València, Valencia, España",39.4725064,-0.3777758000000001,False,14:50:30,2024-02-09,4.3,52,46001,Ciutat Vella
208,Librería oferta,"Plaça de la Verge, 8, Ciutat Vella, 46003 València, Valencia, España",39.4766806,-0.3749548,False,14:50:30,2024-02-09,0.0,0,46003,Ciutat Vella
209,Librería Paulinas,"Pça. de la Reina, 2, Ciutat Vella, 46003 València, Valencia, España",39.473939,-0.3751467,False,14:50:30,2024-02-09,4.6,344,46003,Ciutat Vella
211,PAPELERIA -LIBRERIA- PASQUI,"pasqui.pascual@gmail.com, C/SALVADOR ALMENAR 2, Benimaclet, tel.963, 692 857, bajo A, 46020 Valencia, España",39.4880863,-0.3609895,False,14:50:37,2024-02-09,4.9,27,46020,Benimaclet
